Distance_microns,Time_seconds
11.700000000000001,200
11.75,240
11.8,280
11.75,320
11.650000000000002,360
11.600000000000001,400
11.600000000000001,440
11.600000000000001,480
11.55,520
11.45,560
11.350000000000001,600
11.25,640
11.150000000000002,680
11.0,720
10.8,760
10.650000000000002,800
10.55,840
10.45,880
10.45,920
10.55,960
10.600000000000001,1000
10.600000000000001,1040
10.600000000000001,1080
10.600000000000001,1120
10.600000000000001,1160
10.55,1200
10.45,1240
10.350000000000001,1280
10.25,1320
10.150000000000002,1360
10.0,1400
9.8,1440
9.600000000000001,1480
9.45,1520
9.4,1560
9.4,1600
9.4,1640
9.4,1680
9.4,1720
9.4,1760
9.4,1800
9.4,1840
9.350000000000001,1880
9.25,1920
9.200000000000001,1960
9.150000000000002,2000
9.05,2040
8.95,2080
8.850000000000001,2120
8.8,2160
8.8,2200
8.8,2240
8.75,2280
8.649999999999999,2320
8.55,2360
8.4,2400
8.25,2440
8.150000000000002,2480
8.0,2520
7.800000000000001,2560
7.6000000000000005,2600
7.35,2640
7.050000000000001,2680
6.8500000000000005,2720
6.800000000000001,2760
6.800000000000001,2800
6.8500000000000005,2840
6.95,2880
7.0,2920
7.0,2960
7.0,3000
7.0,3040
7.0,3080
7.0,3120
7.0,3160
7.05,3200
7.15,3240
7.2,3280
7.25,3320
7.3500000000000005,3360
7.4,3400
7.45,3440
7.550000000000001,3480
7.6000000000000005,3520
7.6000000000000005,3560
7.6000000000000005,3600
7.6000000000000005,3640
7.6000000000000005,3680
7.6000000000000005,3720
7.6000000000000005,3760
7.6000000000000005,3800
7.6000000000000005,3840
7.6000000000000005,3880
7.6000000000000005,3920
7.6000000000000005,3960
7.6000000000000005,4000
7.6000000000000005,4040
7.6000000000000005,4080
7.6000000000000005,4120
7.550000000000001,4160
7.45,4200
7.4,4240
7.4,4280
7.4,4320
7.45,4360
7.550000000000001,4400
7.6000000000000005,4440
7.6000000000000005,4480
7.6000000000000005,4520
7.6000000000000005,4560
7.65,4600
7.750000000000001,4640
7.800000000000001,4680
7.800000000000001,4720
7.800000000000001,4760
7.750000000000001,4800
7.65,4840
7.6000000000000005,4880
7.6000000000000005,4920
7.6000000000000005,4960
7.6000000000000005,5000
7.6000000000000005,5040
7.6000000000000005,5080
7.6000000000000005,5120
